"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"504","Dustin Boyd","MTL","C","10","98.383333333333","1","0","0","0","1","100.00","8","12.50","19","13","11","8","1","0","2","1","1","0","0","1","2","0","12","14","6","23","32","41.82"
"526","Chad Kolarik","NYR","C","4","36.516666666667","0","1","1","0","1","50.00","4","0.00","7","6","5","4","0","1","2","1","1","0","0","0","0","1","3","4","2","0","0","-"
"527","Mike Vernace","T.B","D","10","87","0","1","0","1","1","25.00","6","0.00","11","9","3","1","0","1","2","1","1","0","0","0","1","4","8","3","3","0","0","-"
"545","Rick Rypien","VAN","C","9","46.083333333333","0","1","0","1","1","100.00","6","0.00","8","7","2","1","1","0","31","7","3","3","1","5","1","2","13","3","3","9","5","64.29"
"569","Matt Lashoff","TOR","D","11","152.15","0","1","0","1","1","14.29","8","0.00","22","15","7","0","1","2","6","3","3","0","0","3","4","6","10","15","14","0","0","-"
"612","Brett Sutter","CAR, CGY","L","5","44.616666666667","0","1","1","0","1","100.00","3","0.00","6","5","4","3","1","0","5","1","0","1","0","1","2","0","3","1","1","13","13","50.00"
"613","Tim Kennedy","FLA","L","6","62.283333333333","0","1","0","1","1","100.00","2","0.00","3","3","2","1","0","1","0","0","0","0","0","0","0","4","16","8","6","12","18","40.00"
"614","Andrey Zubarev","ATL","D","4","80.3","0","1","1","0","1","50.00","2","0.00","4","2","1","0","0","0","4","2","2","0","0","1","0","2","15","5","8","0","0","-"
"619","Mario Bliznak","VAN","C","4","26.45","1","0","0","0","1","50.00","1","100.00","3","2","3","2","0","0","0","0","0","0","0","0","0","2","2","2","1","7","14","33.33"
"632","Jordan Hendry","CHI","D","37","395.6","1","0","0","0","1","9.09","35","2.86","64","50","10","2","1","0","4","1","1","0","0","8","4","7","47","65","29","0","1","0.00"
"653","Sergei Shirokov","VAN","L","2","20.583333333333","1","0","0","0","1","100.00","6","16.67","9","7","5","3","0","0","0","0","0","0","0","1","0","0","1","6","0","0","0","-"
"669","Cory Emmerton","DET","C","2","16.683333333333","1","0","0","0","1","100.00","3","33.33","3","3","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","1","0.00"
"676","Jan Mursak","DET","L","19","155.66666666667","1","0","0","0","1","100.00","20","5.00","34","27","19","6","1","0","4","2","2","0","0","3","4","5","14","20","3","3","3","50.00"
"697","John Scott","CHI","L","40","250.13333333333","0","1","0","1","1","14.29","15","0.00","33","23","16","6","1","1","72","16","6","8","2","14","3","3","60","33","10","0","3","0.00"
"700","Sean Collins","WSH","D","4","58.966666666667","1","0","0","0","1","33.33","4","25.00","7","6","2","0","0","0","0","0","0","0","0","1","1","0","2","6","4","0","0","-"
"702","Brad Mills","N.J","C","4","33.1","1","0","0","0","1","100.00","6","16.67","6","6","4","2","0","0","5","1","0","1","0","1","0","0","7","2","2","7","10","41.18"
"706","Derek Smith","OTT","D","9","137.85","0","1","1","0","1","25.00","13","0.00","22","15","2","0","0","1","0","0","0","0","0","2","2","3","5","7","11","0","0","-"
"728","Zach Hamill","BOS","C","3","31.416666666667","0","1","0","1","1","100.00","1","0.00","4","2","1","0","0","0","0","0","0","0","0","0","2","1","0","0","3","5","11","31.25"
"735","Mark Katic","NYI","D","11","180.7","0","1","0","1","1","25.00","8","0.00","14","10","4","0","0","0","4","1","1","0","0","0","4","13","8","6","21","0","0","-"
"748","Colton Gillies","MIN","C","7","72.566666666667","1","0","0","0","1","100.00","3","33.33","8","7","5","4","0","0","2","1","1","0","0","1","1","0","16","8","2","1","1","50.00"
"751","Drayson Bowman","CAR","L","23","221.98333333333","0","1","1","0","1","14.29","28","0.00","63","43","27","14","3","6","12","4","4","0","0","3","4","8","24","23","9","0","0","-"
"762","Jake Muzzin","L.A","D","11","150.85","0","1","1","0","1","50.00","8","0.00","20","10","3","0","0","2","0","0","0","0","0","1","7","2","22","22","2","0","0","-"
"769","Maksim Mayorov","CBJ","L","5","43.5","1","0","0","0","1","100.00","3","33.33","8","5","6","2","1","0","0","0","0","0","0","0","0","0","4","3","0","0","0","-"
"781","Mike Moore","S.J","D","6","60.666666666667","1","0","0","0","1","25.00","5","20.00","8","5","2","1","1","1","7","2","1","1","0","1","3","0","4","3","2","0","0","-"
"797","Joe Colborne","TOR","C","1","18.683333333333","0","1","1","0","1","100.00","1","0.00","2","2","2","1","0","0","0","0","0","0","0","0","3","1","0","0","1","3","6","33.33"
"803","Greg Nemisz","CGY","R","6","30.566666666667","0","1","1","0","1","100.00","5","0.00","9","6","6","0","2","2","0","0","0","0","0","1","1","1","1","6","2","1","2","33.33"
