,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHL,ESPN,DURABILITE,NHL,ESPN,PRODUCTION,,,,,,CONST/EVOL,,,,,,,GP,PTS,"PTS
/GP","$
/PTS",,,,TOT
x,Quick Jonathan,LAK,1,32,69,37,49,72,68,17,35,18,27,36,40,8,13,4,4,13,5,2,10,1,6,6,5,2,93,41,64,91,90,20,,,,66,68,67 ,1.35,1.11,1.31,1.26,1.32,1.18,"60,122","86,567",,"5,800,000",23,,3,2.0,6,3,4,2,,20.0
,Fleury Marc-Andre,VGK,1,33,67,33,64,64,58,38,42,23,39,34,35,18,4,0,5,9,6,7,3,1,5,10,5,1,91,47,88,87,81,44,,,,46,,46 ,1.36,1.42,1.38,1.36,1.40,1.16,"60,560","125,000",,"5,750,000",19,SLEEPER,4,4.4,6,3,4,2,,23.4
4,Smith Mike,CGY,1,35,67,34,62,62,32,10,38,15,27,14,15,1,10,5,10,5,2,1,8,5,3,0,3,0,94,40,67,33,35,3,,,,62,52,57 ,1.40,1.18,1.08,0.53,1.09,0.30,"230,352","99,415",,"5,666,666",19,SLEEPER,2,0.3,2,1.5,1,2,,8.8
x,Luongo Roberto,FLA,1/2,38,55,20,56,61,62,40,31,9,25,28,35,17,8,3,7,12,6,6,5,2,4,2,4,1,75,23,61,70,80,41,,,,42,,42 ,1.36,1.15,1.09,1.15,1.29,1.03,"63,454","126,984",,"5,333,333",22,,3,4.1,6,3,3,2,,21.1
,Howard Jimmy,DET,1/2,33,57,42,51,53,37,26,35,21,21,23,14,10,4,7,11,11,5,1,6,5,2,2,2,1,80,54,55,59,35,22,,,,36,46,41 ,1.40,1.29,1.08,1.11,0.95,0.85,"76,266","129,065",,"5,291,667",19,,2,2.2,4,1.5,3,1,,13.7
x,Andersen Frederik,TOR,1,28,,,28,54,43,66,,,20,35,22,33,,,0,5,7,14,,,0,3,3,4,0,0,40,78,54,84,,,,72,69.8,71 ,,,1.43,1.44,1.26,1.27,"47,909","70,423",,"5,000,000",21,,3,8.4,6,4.5,4,2,,27.9
x,Bishop Ben,DAL,1,31,10,22,63,62,61,39,3,11,37,40,35,18,2,1,7,5,4,5,0,2,5,4,6,1,8,25,86,89,80,42,,,,68,62,65 ,0.80,1.14,1.37,1.44,1.31,1.08,"55,677","75,641",,"4,916,667",23,,4,4.2,6,3,3,1,,21.2
5,Halak Jaroslav,NYI,1/2,32,46,16,52,59,36,28,26,6,29,38,18,12,7,1,7,4,4,5,6,3,5,6,3,2,65,16,70,86,43,31,,,,48,,48 ,1.41,1.00,1.35,1.46,1.19,1.11,"49,567","93,750",,"4,500,000",18,,2,3.1,6,4.5,3,1,,19.6
x,Allen Jake,STL,1,27,,15,,37,47,61,,9,,22,26,33,,0,,4,3,5,,1,,4,6,4,,19,,52,61,75,,,,70,62,66 ,,1.27,,1.41,1.30,1.23,"43,146","65,909",,"4,350,000",21,,2,7.5,6,4.5,3,3,,26.0
x,Dubnyk Devan,MIN,1,31,47,38,34,58,67,65,20,14,11,36,32,40,3,6,3,4,6,5,2,2,2,6,5,5,45,36,27,82,75,90,,,,74,68,71 ,0.96,0.95,0.79,1.41,1.12,1.38,"38,166","61,033",,"4,333,333",21,,4,9.0,8,4.5,1,2,,28.5
x,Anderson Craig,OTT,1,36,63,24,53,35,60,40,33,12,25,14,31,25,6,2,8,8,5,4,3,3,4,3,4,5,75,29,62,39,71,59,,,,62,60,61 ,1.19,1.21,1.17,1.11,1.18,1.48,"34,725","68,852",,"4,200,000",18,,3,5.9,8,4.5,3,4,,28.4
x,Talbot Cam,EDM,1,30,,,21,36,56,73,,,12,21,21,42,,,1,4,5,8,,,3,5,3,7,,,28,51,50,99,,,,76,78,77 ,,,1.33,1.42,0.89,1.36,"37,468","54,113",,"4,166,666",19,,3,9.9,8,4.5,1,2,,28.4
x,Darling Scott,CAR,1,29,,,,14,29,32,,,,9,12,18,,,,0,4,5,,,,1,1,2,,,,19,29,43,,,,58,44,51 ,,,,1.36,1.00,1.34,"37,663","81,373",,"4,150,000",21,PTW,1,4.3,8,4.5,2,3,,22.8
x,Mason Steve,WPG,1/2,29,20,11,61,51,54,58,8,1,33,18,23,26,1,1,7,11,10,8,2,0,4,3,4,3,19,3,77,50,60,63,,,,48,,48 ,0.95,0.27,1.26,0.98,1.11,1.09,"46,032","85,417",,"4,100,000",19,SLEEPER,4,6.3,6,4.5,3,3,,26.8
x,Lehner Robin,BUF,1,26,5,12,36,25,21,59,3,5,12,9,5,23,0,4,6,3,5,8,1,0,1,0,1,2,7,14,31,21,16,56,,,,52,40,46 ,1.40,1.17,0.86,0.84,0.76,0.95,"51,394","86,957",,"4,000,000",18,SLEEPER,2,5.6,4,3,4,3,,21.6
x,Mrazek Petr,DET,1/2,25,,,,29,54,50,,,,16,27,18,,,,2,6,9,,,,3,4,1,,,,37,64,46,,,,34,,34 ,,,,1.28,1.19,0.92,"53,022","117,647",,"4,000,000",18,,1,4.6,4,3,2,2,,16.6
x,Murray Matt,PIT,1,22,,,,,13,49,,,,,9,32,,,,,1,4,,,,,1,4,,,,,20,72,,,,78,76.6,77 ,,,,,1.54,1.47,"31,123","48,701",,"3,750,000",20,,1,7.2,8,4.5,4,4,,28.7
x,Markstrom Jacob,VAN,1/2,28,7,23,16,3,33,26,2,8,2,1,13,10,1,1,3,0,4,3,0,0,0,0,0,0,5,17,7,2,30,23,,,,34,,34 ,0.71,0.74,0.44,0.67,0.91,0.88,"50,548","107,843",,"3,666,667",20,,1,2.3,4,3,3,3,,16.3
x,Vasilevskiy Andrei,TBL,1,23,,,,16,24,50,,,,7,11,23,,,,1,0,7,,,,1,1,2,,,,16,23,55,,,,66,66,66 ,,,,1.00,0.96,1.10,"38,803","53,030",,"3,500,000",20,PTW,1,5.5,6,4.5,4,3,,24.0
x,Reimer James,FLA,1/2,29,34,33,36,35,40,43,14,19,12,9,17,18,4,5,1,1,7,5,3,4,1,0,3,3,35,47,26,19,44,44,,,,34,,34 ,1.03,1.42,0.72,0.54,1.10,1.02,"40,521","100,000",,"3,400,000",21,SLEEPER,2,4.4,6,4.5,1,4,,21.9
x,Greiss Thomas,NYI,1/2,32,19,6,25,20,41,51,9,1,10,9,23,26,1,0,5,3,4,5,0,1,2,0,1,3,19,3,27,21,51,60,,,,36,50,43 ,1.00,0.50,1.08,1.05,1.24,1.18,"34,553","77,519",,"3,333,333",20,,1,6.0,6,4.5,4,3,,24.5
,Ward Cam,CAR,2,33,68,,30,51,52,61,30,,10,22,23,26,13,,6,5,10,12,5,,0,1,1,2,78,,26,50,57,66,,,,22,,22 ,1.15,,0.87,0.98,1.10,1.08,"37,195","150,000",,"3,300,000",18,,3,6.6,6,4.5,4,3,,27.1
x,Jones Martin,SJS,1,28,,,19,15,65,65,,,12,4,37,35,,,0,2,4,6,,,4,3,6,2,0,0,28,13,84,78,,,,64,71.8,68 ,,,1.47,0.87,1.29,1.20,"30,488","44,118",,"3,000,000",18,,2,7.8,6,4.5,1,4,,25.3
x,Elliott Brian,PHI,1,32,38,24,31,46,42,49,23,14,18,26,23,26,4,1,2,3,6,3,9,3,4,5,4,2,59,32,42,60,56,57,,,,56,54.8,55 ,1.55,1.33,1.35,1.30,1.33,1.16,"28,830","50,000",,"2,750,000",19,,2,5.7,6,4.5,4,2,,24.2
,Lack Eddie,CGY,2,30,,,41,41,34,20,,,16,18,12,8,,,5,4,6,3,,,4,2,2,1,,,41,42,32,20,,,,18,,18 ,,,1.00,1.02,0.94,1.00,"33,537","152,778",,"2,750,000",18,,1,2.0,6,4.5,4,2,,19.5
